ID,user_id,user_tag,text
6.82775825893069E+017,2172571639,Figura_Propia,"ƒเgยภa Pภ๏pเค™ su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:"""
6.82775825431712E+017,724570608,Esthe_Ross,"►Esthefany◄ su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:"""
6.82775824957747E+017,1596687186,,
6.82775822625681E+017,1875939270,,
6.82775838236881E+017,3191844098,,
6.82775837972632E+017,1558604186,,
6.82775852715643E+017,2527420590,,
6.82775852610753E+017,4395923367,PlaneteTVRepost,"Planète TV Repost 🔁 su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/MGzQSdSo9A"""
6.82776607883305E+017,428153533,,
6.82777323192586E+017,112534461,account,
6.82777449126429E+017,571499665,athensgreecenew,"Athens Greece NEW su Twitter: ""Grexit to Brexit - https://t.co/mbRq6j75sq #GoogleAlerts"""
6.82785969263653E+017,2170989733,JournalistMissy,"Ashley Clark su Twitter: ""Cameron causes southern discomfort: Leaders worry over welfare, but Brexit fears fail to dim UK's attraction f... https://t.co/M0t1ek1QBk"""
6.82789157286973E+017,3069760247,,
6.82775059253993E+017,3293819495,,
6.82775060285788E+017,3293819495,,
6.82797723507102E+017,3394811787,,
6.82801391027548E+017,17836555,,
6.82792233662194E+017,3293819495,account,
6.82798254715613E+017,3293819495,account,
6.82798256707863E+017,3293819495,account,
6.82798479870161E+017,306104938,SpanishPablo,"Spanish Pablo su Twitter: ""England would celebrate a #Brexit 
France, which denied #Brexin twice, won't shed a tear either.. 
https://t.co/4PcJXm5LBK
#2016Watch"""
6.82813846407389E+017,777687276,,
6.82813969023631E+017,777687276,,
6.82814370624061E+017,777687276,,
6.82814793741275E+017,777687276,,
6.82819241569944E+017,216687772,parisaction,"Vive La France su Twitter: ""#Europe  #LeMonde Le Brexit au centre des vœux de Cameron pour 2016:  https://t.co/j8ZbN0edFM"""
6.82820374329999E+017,4576642936,XIIW37,"وفاء su Twitter: ""انا مو مصبرني الا فكرة ان كل العظماء بدايتهم كانت فاشلة .."""
6.82820777939472E+017,1080559760,tito1265aa,"tito's su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016
https://t.co/RVE4xKiU7z
Le Monde"""
6.8282505267762E+017,3096759563,korkey_9x13,"korkey_9x13 su Twitter: ""Brexit, TTIP, GeenPeil en vluchtelingen: de banenenschillen voor de EU in 2016 https://t.co/cDNMASDBNx https://t.co/xg9VMP0uT0"""
6.82810145240257E+017,3293819495,,
6.82810146192376E+017,3293819495,account,
6.82810147001905E+017,3293819495,account,
6.82810382638002E+017,3854582813,,
6.82826292140454E+017,2962824201,dlEstonia,"Estonia News Links su Twitter: ""Taxpayers fund team to work on Britain's EU presidency - which could happen AFTER Brexit: But taxpayers' cash ... https://t.co/vV6grXicDD"""
6.82827713502147E+017,750816918,AnthonySlater8,"ANTI -TORY su Twitter: ""Leaving EU 'would create melting pot of uncertainty' https://t.co/lvkw9zyPRs via @AOLdotUK# They still spew out the lies. BREXIT only way."""
6.8282924844125E+017,2805219063,,
6.8283028918231E+017,15864377,awbc,"awbc su Twitter: ""Le Brexit au centre des vœux de Cameron pour 2016 https://t.co/w5tpyHymcu via @nuzzel thanks @DirectMarseille"""
6.82833649369231E+017,129982796,account,
6.82819684903813E+017,126599658,sergeimirkat,"sergei su Twitter: ""Mass migration in Europe will accelerate the process of Islamification and destroy social cohesion #Brexit https://t.co/hzUQpa57e8"""
6.82835250653872E+017,2822530175,fvdemocratie,"ForumvoorDemocratie su Twitter: ""Brexit, TTIP, GeenPeil en vluchtelingen: de banenenschillen voor de EU in 2016 https://t.co/vBn69xmQqn"""
6.82836319421108E+017,86241025,TunkaTunks,"tunks su Twitter: ""Man I haven't been asleep since last year I'm tired guys"""
6.82837348523098E+017,446645532,sihlfox,"Sihlfox su Twitter: ""From lumbersexual to Brexit: how many times did the Guardian print the words of the year?

https://t.co/rNSE9nrbel"""
6.82837711280013E+017,555370896,,
6.82839001930191E+017,777687276,,
